Date,Ratio
10/24/2015,0.795759201
10/25/2015,0.811601267
10/26/2015,0.821350232
10/27/2015,0.799658786
10/28/2015,0.772361687
10/29/2015,0.754813551
10/30/2015,0.745552035
10/31/2015,0.736290519
11/1/2015,0.760653409
11/2/2015,0.789299242
11/3/2015,0.783617424
11/4/2015,0.798532197
11/5/2015,0.803503788
11/6/2015,0.776751894
11/7/2015,0.768702652
11/8/2015,0.812026515
11/9/2015,0.816761364
11/10/2015,0.792140152
11/11/2015,0.802320076
11/12/2015,0.800189394
11/13/2015,0.785748106
11/14/2015,0.772490530
11/15/2015,0.807528409
11/16/2015,0.819602273
11/17/2015,0.827888258
11/18/2015,0.835227273
11/19/2015,0.831202652
11/20/2015,0.807528409
11/21/2015,0.777225379
11/22/2015,0.791666667
11/23/2015,0.826467803
11/24/2015,0.831912879
11/25/2015,0.784090909
11/26/2015,0.760890152
11/27/2015,0.743844697
11/28/2015,0.746685606
11/29/2015,0.776988636
11/30/2015,0.786931818
12/1/2015,0.802083333
12/2/2015,0.792613636
12/3/2015,0.78125
12/4/2015,0.764678030
12/5/2015,0.765861742
12/6/2015,0.793323864
12/7/2015,0.803030303
12/8/2015,0.800189394
12/9/2015,0.808948864
12/10/2015,0.795928030
12/11/2015,0.758049242
12/12/2015,0.764678030
12/13/2015,0.793087121
12/14/2015,0.802556818
12/15/2015,0.799715909
12/16/2015,0.801373106
12/17/2015,0.792850379
12/18/2015,0.776041667
12/19/2015,0.724905303
12/20/2015,0.741240530
12/21/2015,0.728929924
12/22/2015,0.719696970
12/23/2015,0.708333333
12/24/2015,0.685132576
12/25/2015,0.710227273
12/26/2015,0.738873106
12/27/2015,0.743607955
12/28/2015,0.762310606
12/29/2015,0.775331439
12/30/2015,0.763020833
12/31/2015,0.719223485
1/1/2016,0.756865530
1/2/2016,0.763731061
1/3/2016,0.790482955
1/4/2016,0.794507576
1/5/2016,0.791903409
1/6/2016,0.800426136
1/7/2016,0.800426136
1/8/2016,0.799715909
1/9/2016,0.789772727
1/10/2016,0.800189394
1/11/2016,0.810606061
1/12/2016,0.806107955
1/13/2016,0.805634470
1/14/2016,0.807765152
1/15/2016,0.776751894
1/16/2016,0.786695076
1/17/2016,0.804214015
1/18/2016,0.815814394
1/19/2016,0.817234848
1/20/2016,0.821969697
1/21/2016,0.8046875
1/22/2016,0.774384470
1/23/2016,0.797585227
1/24/2016,0.800662879
1/25/2016,0.810842803
1/26/2016,0.754971591
1/27/2016,0.727509470
1/28/2016,0.745501894
1/29/2016,0.730823864
1/30/2016,0.741240530
1/31/2016,0.768702652
2/1/2016,0.792140152
2/2/2016,0.793560606
2/3/2016,0.810369318
2/4/2016,0.794981061
2/5/2016,0.764441288
2/6/2016,0.786458333
2/7/2016,0.800426136
2/8/2016,0.789299242
2/9/2016,0.781723485
2/10/2016,0.812736742
2/11/2016,0.807528409
2/12/2016,0.796164773
2/13/2016,0.768702652
2/14/2016,0.788589015
2/15/2016,0.813683712
2/16/2016,0.793797348
2/17/2016,0.810132576
2/18/2016,0.796164773
2/19/2016,0.777462121
2/20/2016,0.789772727
2/21/2016,0.806581439
2/22/2016,0.803740530
2/23/2016,0.806818182
2/24/2016,0.741950758
2/25/2016,0.736742424
2/26/2016,0.728929924
2/27/2016,0.746685606
2/28/2016,0.778409091
2/29/2016,0.795217803
3/1/2016,0.782433712
3/2/2016,0.800426136
3/3/2016,0.774857955
3/4/2016,0.761600379
3/5/2016,0.752604167
3/6/2016,0.791903409
3/7/2016,0.792850379
3/8/2016,0.791193182
3/9/2016,0.790482955
